N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.1,1,1,1,1,6.77947,7.46021e-10,2.32836,0.761167,0.00140512,2.85231e+10,1.19902,1.19902,4.43726e+17,2.4805e+22
6,1e-07,1,1,0.1,1,1,1,1,6.57254,7.49464e-10,2.24692,0.782763,0.00206682,6.91222e+07,1.71309,1.71309,1.95344e+17,2.06709e+22
7,1e-07,1,1,0.1,1,1,1,1,6.40072,7.56432e-10,2.16802,0.858974,0.00284063,168222,2.48929,2.48929,9.76199e+16,1.77179e+22
8,1e-07,1,1,0.1,1,1,1,1,6.28739,7.59813e-10,2.12016,0.86594,0.0037594,407.643,3.20713,3.20713,5.35272e+16,1.55031e+22
9,1e-07,1,1,0.1,1,1,1,1,6.19106,7.65136e-10,2.07315,0.938415,0.00478935,0.983241,4.32187,4.32187,3.15056e+16,1.37806e+22
10,1e-07,1,1,0.1,1,1,1,1,6.14728,7.64022e-10,2.06149,0.935491,0.00600996,0.00236436,5.24209,5.24209,1.96101e+16,1.24025e+22
11,1e-07,1,1,0.1,1,1,1,1,6.10821,7.64891e-10,2.04607,1.00626,0.00734669,5.67666e-06,6.73977,6.73977,1.27706e+16,1.1275e+22
12,1e-07,1,1,0.1,1,1,1,1,6.05864,7.70538e-10,2.01459,0.995934,0.00874039,1.36262e-08,7.85624,7.85624,8.63305e+15,1.03354e+22
13,1e-07,1,1,0.1,1,1,1,1,6.04518,7.70548e-10,2.01008,1.066,0.0103399,3.29918e-11,9.78051,9.78051,6.02191e+15,9.54039e+21
14,1e-07,1,1,0.1,1,1,1,1,6.02495,7.73808e-10,1.99492,1.04978,0.0119999,9.77564e-14,11.0834,11.0834,4.31423e+15,8.85894e+21
15,1e-07,1,1,0.1,1,1,1,1,6.00112,7.79558e-10,1.97237,1.1197,0.013709,1.399e-15,13.4776,13.4776,3.16278e+15,8.26834e+21
16,1e-07,1,1,0.1,1,1,1,1,6.00854,7.79328e-10,1.97539,1.09858,0.0156548,7.54089e-17,14.9541,14.9541,2.36559e+15,7.75157e+21
17,1e-07,1,1,0.1,1,1,1,1,6.01265,7.81e-10,1.97251,1.16868,0.0176576,4.5837e-18,17.8616,17.8616,1.80078e+15,7.29559e+21
18,1e-07,1,1,0.1,1,1,1,1,6.01452,7.84278e-10,1.96488,1.14338,0.0197059,2.77e-19,19.4961,19.4961,1.39237e+15,6.89028e+21
19,1e-07,1,1,0.1,1,1,1,1,6.01466,7.89015e-10,1.95313,1.21386,0.0217863,1.65735e-20,22.9603,22.9603,1.09166e+15,6.52764e+21
20,1e-07,1,1,0.1,1,1,1,1,6.04332,7.87184e-10,1.967,1.18491,0.0241526,9.82574e-22,24.7353,24.7353,8.66652e+14,6.20126e+21
21,1e-07,1,1,0.1,1,1,1,1,6.04056,7.94441e-10,1.94814,1.25591,0.026279,5.77714e-23,28.7997,28.7997,6.95813e+14,5.90596e+21
22,1e-07,1,1,0.1,1,1,1,1,6.06588,7.94873e-10,1.95524,1.22371,0.0287019,3.37118e-24,30.6956,30.6956,5.64388e+14,5.6375e+21
23,1e-07,1,1,0.1,1,1,1,1,6.08973,7.963e-10,1.95941,1.29531,0.0311431,1.9537e-25,35.4042,35.4042,4.62066e+14,5.3924e+21
24,1e-07,1,1,0.1,1,1,1,1,6.11237,7.98647e-10,1.96092,1.26019,0.033593,1.1251e-26,37.3994,37.3994,3.8153e+14,5.16771e+21
25,1e-07,1,1,0.1,1,1,1,1,6.16141,7.9387e-10,1.98854,1.33245,0.0363703,6.44164e-28,42.7963,42.7963,3.17504e+14,4.961e+21
26,1e-07,1,1,0.1,1,1,1,1,6.18176,7.97832e-10,1.9852,1.29466,0.0388231,3.66836e-29,44.868,44.868,2.66134e+14,4.7702e+21
27,1e-07,1,1,0.1,1,1,1,1,6.2015,8.02542e-10,1.97986,1.36763,0.0412589,2.07869e-30,50.9978,50.9978,2.24565e+14,4.59352e+21
28,1e-07,1,1,0.1,1,1,1,1,6.24685,7.99922e-10,2.00087,1.32739,0.0440217,1.17247e-31,53.1215,53.1215,1.90664e+14,4.42947e+21
29,1e-07,1,1,0.1,1,1,1,1,6.29107,7.97937e-10,2.02004,1.40108,0.0467629,6.58492e-33,60.0291,60.0291,1.62813e+14,4.27673e+21
30,1e-07,1,1,0.1,1,1,1,1,6.30884,8.04548e-10,2.0091,1.35858,0.0491331,3.68345e-34,62.179,62.179,1.39776e+14,4.13417e+21
31,1e-07,1,1,0.1,1,1,1,1,6.35146,8.03696e-10,2.02482,1.43301,0.0518182,2.05272e-35,69.9097,69.9097,1.20601e+14,4.00081e+21
32,1e-07,1,1,0.1,1,1,1,1,6.39328,8.03362e-10,2.039,1.3884,0.0544653,1.13993e-36,72.0587,72.0587,1.04545e+14,3.87578e+21
33,1e-07,1,1,0.1,1,1,1,1,6.4344,8.03517e-10,2.05172,1.46357,0.0570704,6.30942e-38,80.6583,80.6583,9.10263e+13,3.75834e+21
34,1e-07,1,1,0.1,1,1,1,1,6.4749,8.04133e-10,2.06305,1.41699,0.05963,3.48137e-39,82.7781,82.7781,7.95838e+13,3.6478e+21
35,1e-07,1,1,0.1,1,1,1,1,6.51485,8.05183e-10,2.07307,1.49291,0.0621408,1.9153e-40,92.2927,92.2927,6.98511e+13,3.54357e+21
36,1e-07,1,1,0.1,1,1,1,1,6.55434,8.06647e-10,2.08185,1.44447,0.0646002,1.0508e-41,94.354,94.354,6.15345e+13,3.44514e+21
37,1e-07,1,1,0.1,1,1,1,1,6.59342,8.08504e-10,2.08946,1.52114,0.0670061,5.74996e-43,104.83,104.83,5.43966e+13,3.35203e+21
38,1e-07,1,1,0.1,1,1,1,1,6.65488,8.0267e-10,2.12426,1.47094,0.069665,3.13857e-44,106.802,106.802,4.82451e+13,3.26382e+21
39,1e-07,1,1,0.1,1,1,1,1,6.69299,8.05237e-10,2.12961,1.54836,0.0719562,1.70913e-45,118.287,118.287,4.29229e+13,3.18013e+21
40,1e-07,1,1,0.1,1,1,1,1,6.73086,8.08146e-10,2.13395,1.49649,0.0741895,9.28637e-47,120.139,120.139,3.8301e+13,3.10063e+21
41,1e-07,1,1,0.1,1,1,1,1,6.7904,8.03312e-10,2.16578,1.57466,0.0766444,5.03492e-48,132.68,132.68,3.4273e+13,3.025e+21
42,1e-07,1,1,0.1,1,1,1,1,6.82759,8.06835e-10,2.16814,1.5212,0.0787587,2.72432e-49,134.379,134.379,3.07509e+13,2.95298e+21
43,1e-07,1,1,0.1,1,1,1,1,6.88601,8.02598e-10,2.19824,1.6001,0.0810707,1.47124e-50,148.023,148.023,2.76612e+13,2.8843e+21
44,1e-07,1,1,0.1,1,1,1,1,6.92268,8.06682e-10,2.19875,1.54513,0.0830656,7.93064e-52,149.537,149.537,2.49426e+13,2.81875e+21
45,1e-07,1,1,0.1,1,1,1,1,6.98013,8.02983e-10,2.22721,1.62476,0.0852383,4.26743e-53,164.333,164.333,2.25436e+13,2.75611e+21
46,1e-07,1,1,0.1,1,1,1,1,7.01644,8.07586e-10,2.22604,1.56834,0.0871148,2.29241e-54,165.627,165.627,2.04206e+13,2.6962e+21
47,1e-07,1,1,0.1,1,1,1,1,7.07304,8.04375e-10,2.25295,1.64869,0.0891527,1.22946e-55,181.623,181.623,1.8537e+13,2.63883e+21
48,1e-07,1,1,0.1,1,1,1,1,7.12917,8.01407e-10,2.27924,1.59088,0.0911164,6.58365e-57,182.662,182.662,1.68614e+13,2.58386e+21
49,1e-07,1,1,0.1,1,1,1,1,7.18487,7.98671e-10,2.30492,1.67195,0.0930082,3.52025e-58,199.908,199.908,1.53673e+13,2.53112e+21
50,1e-07,1,1,0.1,1,1,1,1,7.22041,8.04156e-10,2.30052,1.6128,0.0946577,1.87958e-59,200.657,200.657,1.40318e+13,2.4805e+21
51,1e-07,1,1,0.1,1,1,1,1,7.27547,8.01827e-10,2.3248,1.69458,0.0964267,1.00219e-60,219.202,219.202,1.28355e+13,2.43186e+21
52,1e-07,1,1,0.1,1,1,1,1,7.33015,7.997e-10,2.3485,1.63415,0.0981294,5.33669e-62,219.623,219.623,1.17616e+13,2.3851e+21
53,1e-07,1,1,0.1,1,1,1,1,7.38448,7.97767e-10,2.37164,1.71662,0.0997684,2.83819e-63,239.517,239.517,1.07954e+13,2.3401e+21
54,1e-07,1,1,0.1,1,1,1,1,7.43847,7.9602e-10,2.39422,1.65494,0.101346,1.50758e-64,239.574,239.574,9.92448e+12,2.29676e+21
55,1e-07,1,1,0.1,1,1,1,1,7.4735,8.02435e-10,2.38626,1.73811,0.102733,7.99851e-66,260.866,260.866,9.13792e+12,2.255e+21
