N,LAM,C,ADEL,LEC1,LEC2,MU_ETA,MU_DEL,XI_INF,XI_FO,TSM_FO,XI_CMB,XI_BBN,RD_ETA,RD_DEL,DNEFF_CMB,DNEFF_BBN,ETA_SI_PER_MASS,DEL_SI_PER_MASS
5,1e-07,1,1,0.05,1,1,1,0.01,0.265768,1.2097e-08,0.00562898,0.00770945,5.01226e-07,39.2189,1.22748e-08,1.22748e-08,1.10931e+17,2.4805e+22
6,1e-07,1,1,0.05,1,1,1,0.01,0.241048,1.2862e-08,0.00480176,0.00802374,6.65135e-07,0.204194,1.78648e-08,1.78648e-08,4.88359e+16,2.06709e+22
7,1e-07,1,1,0.05,1,1,1,0.01,0.222265,1.35649e-08,0.00419817,0.00876317,8.4812e-07,0.000963952,2.58007e-08,2.58007e-08,2.4405e+16,1.77179e+22
8,1e-07,1,1,0.05,1,1,1,0.01,0.208086,1.41617e-08,0.00376473,0.00896937,1.04994e-06,4.22408e-06,3.39895e-08,3.39895e-08,1.33818e+16,1.55031e+22
9,1e-07,1,1,0.05,1,1,1,0.01,0.197881,1.45897e-08,0.00347507,0.00964833,1.27056e-06,1.74396e-08,4.5374e-08,4.5374e-08,7.87641e+15,1.37806e+22
10,1e-07,1,1,0.05,1,1,1,0.01,0.188588,1.50714e-08,0.003206,0.00979303,1.50922e-06,6.85896e-11,5.64469e-08,5.64469e-08,4.90252e+15,1.24025e+22
11,1e-07,1,1,0.05,1,1,1,0.01,0.181786,1.54042e-08,0.0030236,0.0104302,1.76634e-06,2.59133e-13,7.16835e-08,7.16835e-08,3.19266e+15,1.1275e+22
12,1e-07,1,1,0.05,1,1,1,0.01,0.175692,1.57464e-08,0.00285875,0.0105369,2.04122e-06,9.46505e-16,8.59189e-08,8.59189e-08,2.15826e+15,1.03354e+22
13,1e-07,1,1,0.05,1,1,1,0.01,0.169851,1.61409e-08,0.00269617,0.0111417,2.3334e-06,3.35916e-18,1.05381e-07,1.05381e-07,1.50548e+15,9.54039e+21
14,1e-07,1,1,0.05,1,1,1,0.01,0.166121,1.63264e-08,0.00260698,0.0112241,2.64416e-06,1.16299e-20,1.23052e-07,1.23052e-07,1.07856e+15,8.85894e+21
15,1e-07,1,1,0.05,1,1,1,0.01,0.16163,1.66712e-08,0.00248405,0.0118021,2.97122e-06,3.94048e-23,1.47089e-07,1.47089e-07,7.90695e+14,8.26834e+21
16,1e-07,1,1,0.05,1,1,1,0.01,0.158117,1.69287e-08,0.0023931,0.0118684,3.31594e-06,1.31005e-25,1.68466e-07,1.68466e-07,5.91398e+14,7.75157e+21
17,1e-07,1,1,0.05,1,1,1,0.01,0.155451,1.7099e-08,0.00232931,0.0124234,3.67842e-06,4.28288e-28,1.97409e-07,1.97409e-07,4.50194e+14,7.29559e+21
18,1e-07,1,1,0.05,1,1,1,0.01,0.15319,1.72386e-08,0.00227684,0.0124791,4.05818e-06,1.37938e-30,2.22759e-07,2.22759e-07,3.48091e+14,6.89028e+21
19,1e-07,1,1,0.05,1,1,1,0.01,0.150463,1.74859e-08,0.00220468,0.0130138,4.45363e-06,4.38319e-33,2.56923e-07,2.56923e-07,2.72916e+14,6.52764e+21
20,1e-07,1,1,0.05,1,1,1,0.01,0.148468,1.76403e-08,0.00215641,0.0130626,4.86675e-06,1.37605e-35,2.8651e-07,2.8651e-07,2.16663e+14,6.20126e+21
21,1e-07,1,1,0.05,1,1,1,0.01,0.146477,1.78193e-08,0.00210613,0.0135791,5.29611e-06,4.2727e-38,3.26198e-07,3.26198e-07,1.73953e+14,5.90596e+21
22,1e-07,1,1,0.05,1,1,1,0.01,0.144786,1.79679e-08,0.0020646,0.0136236,5.74233e-06,1.31346e-40,3.60282e-07,3.60282e-07,1.41097e+14,5.6375e+21
23,1e-07,1,1,0.05,1,1,1,0.01,0.143589,1.80445e-08,0.00203883,0.0141235,6.20608e-06,4.00085e-43,4.05787e-07,4.05787e-07,1.15517e+14,5.3924e+21
